keys,en,de
UI_INPUT_SEED_LABEL,Seed:,Seed:
UI_INPUT_SEED_PLACEHOLDER,Enter seed here...,Gib Seed hier ein...
UI_INPUT_GENERATE,Generate,Generiere
UI_INFO_USING_SEED,Using seed %d,Nutze Seed %d
UI_INFO_STARTED_GENERATION,Started generation,Generation gestartet
UI_INFO_STARTED_VORONATOR,Started Voronator,Voronator Gestartet
UI_INFO_APPLIED_BASIC_TYPES,Applied basic types,Grundtypen angewendet
UI_INFO_APPLIED_ELEVATION,Applied elevation,Höhe angewendet
UI_INFO_GENERATED_RIVERS,Generated rivers,Flüsse erzeugt
UI_INFO_GENERATED_MOISTURE,Generated moisture,Feuchtgebiete erzeugt
UI_INFO_GENERATION_FINISHED,Finished generation,Generation beendet
UI_INFO_GENERATION_ERROR,Generation Error,Fehler bei Generation
UI_INFO_SEED,Seed: %d,Seed: %d
UI_CLICK_TO_COPY,Click to copy,Klicke um zu kopieren
